,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
876,28,79,39,8,28079039_8_8,2021,10,41.0,V,37.0,V,13.0,V,24.0,V,22.0,V,38.0,V,51.0,V,59.0,V,38.0,V,28.0,V,30.0,V,34.0,V,42.0,V,52.0,V,50.0,V,64.0,V,29.0,V,48.0,V,53.0,V,39.0,V,26.0,V,14.0,V,29.0,V,43.0,V,59.0,V,47.0,V,64.0,V,55.0,V,38.0,V,17.0,V,10.0,V,43.0
877,28,79,39,8,28079039_8_8,2021,11,13.0,V,21.0,V,18.0,V,38.0,V,25.0,V,26.0,V,49.0,V,53.0,V,52.0,V,49.0,V,79.0,V,56.0,V,45.0,V,37.0,V,19.0,V,43.0,V,31.0,V,44.0,V,34.0,V,28.0,V,29.0,V,34.0,V,36.0,V,33.0,V,41.0,V,51.0,V,18.0,V,13.0,V,21.0,V,61.0,V,0.0,N,41.233333333333334
878,28,79,39,8,28079039_8_8,2021,12,46.0,V,26.0,V,44.0,V,33.0,V,8.0,V,18.0,V,33.0,V,11.0,V,18.0,V,17.0,V,42.0,V,54.0,V,57.0,V,64.0,V,82.0,V,83.0,V,65.0,V,46.0,V,39.0,V,57.0,V,54.0,V,48.0,V,54.0,V,35.0,V,21.0,V,24.0,V,13.0,V,23.0,V,37.0,V,58.0,V,53.0,V,45.29032258064516
916,28,79,40,8,28079040_8_8,2021,1,17.0,V,27.0,V,34.0,V,37.0,V,55.0,V,38.0,V,32.0,V,20.0,V,14.0,V,18.0,V,50.0,V,70.0,V,104.0,V,121.0,V,125.0,V,135.0,V,93.0,V,91.0,V,65.0,V,62.0,V,23.0,V,22.0,V,13.0,V,12.0,V,18.0,V,27.0,V,39.0,V,33.0,V,32.0,V,10.0,V,9.0,V,51.225806451612904
917,28,79,40,8,28079040_8_8,2021,2,22.0,V,22.0,V,35.0,V,39.0,V,26.0,V,27.0,V,11.0,V,21.0,V,21.0,V,23.0,V,40.0,V,31.0,V,32.0,V,33.0,V,28.0,V,43.0,V,50.0,V,58.0,V,51.0,V,25.0,V,14.0,V,23.0,V,39.0,V,32.0,V,28.0,V,35.0,V,34.0,V,13.0,V,0.0,N,0.0,N,0.0,N,35.67857142857143
918,28,79,40,8,28079040_8_8,2021,3,39.0,V,36.0,V,47.0,V,49.0,V,37.0,V,22.0,V,18.0,V,38.0,V,20.0,V,42.0,V,37.0,V,33.0,V,35.0,V,20.0,V,20.0,V,14.0,V,11.0,V,15.0,V,15.0,V,10.0,V,15.0,V,35.0,V,53.0,V,48.0,V,50.0,V,32.0,V,17.0,V,13.0,V,24.0,V,23.0,V,23.0,V,33.38709677419355
919,28,79,40,8,28079040_8_8,2021,4,17.0,V,18.0,V,30.0,V,21.0,V,32.0,V,44.0,V,20.0,V,19.0,V,25.0,V,18.0,V,15.0,V,23.0,V,36.0,V,23.0,V,20.0,V,23.0,V,15.0,V,15.0,V,37.0,V,35.0,V,21.0,V,34.0,V,20.0,V,13.0,V,20.0,V,30.0,V,35.0,V,29.0,V,20.0,V,31.0,V,0.0,N,29.466666666666665
920,28,79,40,8,28079040_8_8,2021,5,19.0,V,12.0,V,13.0,V,29.0,V,39.0,V,28.0,V,32.0,V,26.0,V,12.0,V,19.0,V,13.0,V,12.0,V,16.0,V,17.0,V,17.0,V,8.0,V,18.0,V,30.0,V,15.0,V,21.0,V,36.0,V,11.0,V,11.0,V,20.0,V,17.0,V,21.0,V,21.0,V,25.0,V,20.0,V,11.0,V,19.0,V,24.322580645161292
921,28,79,40,8,28079040_8_8,2021,6,19.0,V,26.0,V,20.0,V,27.0,V,15.0,V,23.0,V,26.0,V,28.0,V,30.0,V,23.0,V,22.0,V,10.0,V,13.0,V,23.0,V,22.0,V,18.0,V,26.0,V,22.0,V,18.0,V,11.0,V,13.0,V,25.0,V,18.0,V,23.0,V,29.0,V,26.0,V,9.0,V,17.0,V,24.0,V,24.0,V,0.0,N,25.9
922,28,79,40,8,28079040_8_8,2021,7,29.0,V,34.0,V,17.0,V,10.0,V,19.0,V,17.0,V,22.0,V,18.0,V,27.0,V,24.0,V,16.0,V,12.0,V,13.0,V,16.0,V,24.0,V,33.0,V,18.0,V,13.0,V,19.0,V,32.0,V,29.0,V,32.0,V,35.0,V,13.0,V,13.0,V,20.0,V,21.0,V,26.0,V,20.0,V,19.0,V,10.0,V,25.774193548387096
923,28,79,40,8,28079040_8_8,2021,8,9.0,V,19.0,V,24.0,V,13.0,V,26.0,V,19.0,V,10.0,V,15.0,V,15.0,V,21.0,V,26.0,V,21.0,V,39.0,V,32.0,V,21.0,V,18.0,V,14.0,V,19.0,V,21.0,V,20.0,V,30.0,V,27.0,V,22.0,V,20.0,V,18.0,V,37.0,V,31.0,V,25.0,V,14.0,V,18.0,V,27.0,V,26.451612903225808
924,28,79,40,8,28079040_8_8,2021,9,20.0,V,27.0,V,36.0,V,30.0,V,30.0,V,31.0,V,28.0,V,16.0,V,26.0,V,19.0,V,26.0,V,30.0,V,36.0,V,23.0,V,26.0,V,42.0,V,31.0,V,25.0,V,21.0,V,16.0,V,13.0,V,19.0,V,16.0,V,28.0,V,21.0,V,25.0,V,48.0,V,36.0,V,31.0,V,31.0,V,0.0,N,31.9
925,28,79,40,8,28079040_8_8,2021,10,35.0,V,29.0,V,10.0,V,21.0,V,21.0,V,26.0,V,46.0,V,52.0,V,36.0,V,26.0,V,32.0,V,36.0,V,38.0,V,51.0,V,61.0,V,61.0,V,36.0,V,46.0,V,45.0,V,33.0,V,37.0,V,15.0,V,32.0,V,41.0,V,65.0,V,46.0,V,65.0,V,58.0,V,46.0,V,16.0,V,11.0,V,42.70967741935484
926,28,79,40,8,28079040_8_8,2021,11,15.0,V,22.0,V,21.0,V,39.0,V,20.0,V,18.0,V,52.0,V,46.0,V,53.0,V,59.0,V,82.0,V,55.0,V,46.0,V,31.0,V,22.0,V,49.0,V,33.0,V,46.0,V,34.0,V,35.0,V,40.0,V,44.0,V,36.0,V,40.0,V,47.0,V,62.0,V,24.0,V,15.0,V,30.0,V,69.0,V,0.0,N,44.56666666666667
927,28,79,40,8,28079040_8_8,2021,12,57.0,V,33.0,V,52.0,V,45.0,V,13.0,V,22.0,V,33.0,V,12.0,V,23.0,V,21.0,V,40.0,V,48.0,V,56.0,V,56.0,V,66.0,V,62.0,V,58.0,V,46.0,V,39.0,V,61.0,V,61.0,V,47.0,V,47.0,V,35.0,V,21.0,V,25.0,V,15.0,V,26.0,V,47.0,V,57.0,V,49.0,V,46.0
964,28,79,47,8,28079047_8_8,2021,1,11.0,V,22.0,V,35.0,V,27.0,V,50.0,V,38.0,V,33.0,V,25.0,V,15.0,V,20.0,V,50.0,V,68.0,V,96.0,V,104.0,V,119.0,V,111.0,V,86.0,V,96.0,V,62.0,V,4.0,N,26.0,V,22.0,V,15.0,V,16.0,V,20.0,V,25.0,V,36.0,V,28.0,V,27.0,V,12.0,V,13.0,V,47.29032258064516
965,28,79,47,8,28079047_8_8,2021,2,23.0,V,22.0,V,35.0,V,41.0,V,33.0,V,33.0,V,15.0,V,20.0,V,24.0,V,21.0,V,38.0,V,25.0,V,34.0,V,37.0,V,31.0,V,48.0,V,59.0,V,50.0,V,52.0,V,35.0,V,15.0,V,24.0,V,40.0,V,37.0,V,37.0,V,45.0,V,40.0,V,17.0,V,0.0,N,0.0,N,0.0,N,38.785714285714285
966,28,79,47,8,28079047_8_8,2021,3,44.0,V,38.0,V,50.0,V,50.0,V,41.0,V,24.0,V,21.0,V,45.0,V,24.0,V,41.0,V,43.0,V,28.0,V,33.0,V,26.0,V,28.0,V,21.0,V,18.0,V,22.0,V,19.0,V,16.0,V,21.0,V,44.0,V,56.0,V,52.0,V,50.0,V,38.0,V,21.0,V,14.0,V,28.0,V,24.0,V,25.0,V,37.45161290322581
967,28,79,47,8,28079047_8_8,2021,4,15.0,V,13.0,V,26.0,V,20.0,V,25.0,V,37.0,V,17.0,V,18.0,V,24.0,V,13.0,V,11.0,V,23.0,V,39.0,V,18.0,V,13.0,V,17.0,V,10.0,V,12.0,V,27.0,V,25.0,V,16.0,V,25.0,V,20.0,V,11.0,V,21.0,V,25.0,V,33.0,V,24.0,V,13.0,V,24.0,V,0.0,N,25.733333333333334
968,28,79,47,8,28079047_8_8,2021,5,16.0,V,12.0,V,12.0,V,27.0,V,32.0,V,31.0,V,25.0,V,32.0,V,12.0,V,14.0,V,9.0,V,9.0,V,11.0,V,10.0,V,12.0,V,6.0,V,14.0,V,26.0,V,15.0,V,24.0,V,39.0,V,8.0,V,10.0,V,15.0,V,16.0,V,17.0,V,23.0,V,24.0,V,17.0,V,11.0,V,17.0,V,22.70967741935484
969,28,79,47,8,28079047_8_8,2021,6,16.0,V,24.0,V,17.0,V,28.0,V,15.0,V,25.0,V,24.0,V,25.0,V,32.0,V,20.0,V,22.0,V,10.0,V,14.0,V,21.0,V,18.0,V,17.0,V,21.0,V,19.0,V,13.0,V,7.0,V,10.0,V,18.0,V,17.0,V,19.0,V,30.0,V,23.0,V,8.0,V,10.0,V,19.0,V,18.0,V,0.0,N,23.966666666666665
970,28,79,47,8,28079047_8_8,2021,7,28.0,V,36.0,V,12.0,V,6.0,V,13.0,V,15.0,V,17.0,V,19.0,V,27.0,V,25.0,V,24.0,V,8.0,V,12.0,V,15.0,V,23.0,V,33.0,V,17.0,V,11.0,V,18.0,V,34.0,V,32.0,V,31.0,V,43.0,V,8.0,V,9.0,V,19.0,V,22.0,V,22.0,V,16.0,V,18.0,V,6.0,V,25.129032258064516
971,28,79,47,8,28079047_8_8,2021,8,7.0,V,16.0,V,26.0,V,7.0,V,22.0,V,17.0,V,6.0,V,9.0,V,13.0,V,21.0,V,31.0,V,16.0,V,37.0,V,38.0,V,18.0,V,21.0,V,11.0,V,14.0,V,16.0,V,15.0,V,31.0,V,32.0,V,20.0,V,14.0,V,13.0,V,37.0,V,28.0,V,13.0,V,7.0,V,11.0,V,17.0,V,24.032258064516128
972,28,79,47,8,28079047_8_8,2021,9,17.0,V,24.0,V,28.0,V,29.0,V,32.0,V,35.0,V,25.0,V,11.0,V,13.0,V,11.0,V,19.0,V,32.0,V,35.0,V,19.0,V,20.0,V,38.0,V,25.0,V,15.0,V,18.0,V,24.0,V,11.0,V,16.0,V,13.0,V,23.0,V,18.0,V,19.0,V,52.0,V,35.0,V,35.0,V,31.0,V,0.0,N,29.5
